drug_name,boxed_warning,contraindications_len,indications_len,manufacturer
"ps-2896 hydrocortisone cream 1%, 0.9g",0,0,40,ProStat First Aid LLC
,0,0,30,Unknown
oxygen,0,0,0,"Arkansas Welding Supply, Inc."
white petrolatum,0,0,20,"Medline Industries, LP"
,0,0,30,Unknown
,0,0,6,Unknown
,0,0,21,Unknown
acne spot treatment,0,0,6,Kamedis
white petrolatum,0,0,39,"Medline Industries, LP"
,0,0,30,Unknown
gadobutrol,1,28,251,"Fresenius Kabi USA, LLC"
ps-2205 bzk antiseptic towelettes,0,0,14,ProStat First Aid LLC
atropine sulfate,0,3,41,"HF Acquisition Co LLC, DBA HealthFirst"
,0,96,110,Unknown
,0,0,32,Unknown
,0,22,37,Unknown
clopidogrel bisulfate,1,69,226,Aurobindo Pharma Limited
,0,0,16,Unknown
amoxicillin,0,54,458,"Northwind Pharmaceuticals, LLC"
ketorolac tromethamine,0,30,72,Aurobindo Pharma Limited
entecavir,1,5,107,Amneal Pharmaceuticals LLC
,0,9,48,Unknown
rizatriptan benzoate,0,263,194,Organon LLC
,0,22,47,Unknown
,0,0,5,Unknown
tramadol hydrochloride,1,231,281,"Unichem Pharmaceuticals (USA), Inc."
etodolac,1,72,68,"PD-Rx Pharmaceuticals, Inc."
,0,0,5,Unknown
,0,0,5,Unknown
capecitabine,1,34,426,Dr. Reddy's Laboratories Limited
trazodone hydrochloride,1,71,38,A-S Medication Solutions
,0,28,92,Unknown
,0,0,11,Unknown
,1,313,81,Unknown
,0,0,29,Unknown
,0,7,223,Unknown
,1,25,74,Unknown
,0,0,33,Unknown
"dextromethorphan hydrobromide, doxylamine succinate",0,0,17,"P & L Development, LLC"
silver sulfadiazine,0,66,33,Bryant Ranch Prepack
,0,212,21,Unknown
sevelamer carbonate,0,53,64,DR. REDDY'S LABORATORIES LIMITED
,0,0,12,Unknown
clotrimazole,0,0,27,"Pharmaceutica North America, Inc"
,0,112,155,Unknown
,1,82,328,Unknown
,0,0,16,Unknown
ibuprofen,1,72,96,Aurobindo Pharma Limited
,1,116,863,Unknown
air,0,0,0,"SYOXSA, Inc."
benzalkonium chloride,0,0,15,Biopure Services Llc
,0,0,40,Unknown
zinc pyrithione,0,0,12,HIMS INC
,1,19,102,Unknown
,0,0,6,Unknown
simvastatin,0,141,248,"PD-Rx Pharmaceuticals, Inc."
,0,0,5,Unknown
,0,0,11,Unknown
,0,0,23,Unknown
diltiazem hydrochloride,0,72,46,Bryant Ranch Prepack
,0,0,0,Unknown
lidocaine,0,0,5,"Chattem, Inc."
,1,111,99,Unknown
,0,50,338,Unknown
acetaminophen,0,0,26,Topco Associates LLC
,0,0,0,Unknown
,0,0,19,Unknown
,0,0,5,Unknown
,0,0,23,Unknown
levothyroxine sodium,1,23,213,A-S Medication Solutions
,0,25,42,Unknown
,0,28,40,Unknown
,1,131,1483,Unknown
mafenide acetate,0,23,20,"Rising Pharma Holdings, Inc."
,0,38,252,Unknown
,1,135,134,Unknown
indomethacin,1,132,78,"PD-Rx Pharmaceuticals, Inc."
,1,258,210,Unknown
capsaicin,0,0,22,"Alexso, Inc"
,0,0,16,Unknown
,0,0,28,Unknown
,0,53,37,Unknown
,0,0,12,Unknown
hydrocortisone acetate,0,37,34,Meda Pharmaceuticals Inc.
,0,85,169,Unknown
vancomycin hydrochloride,0,15,394,Gland Pharma Limited
,0,0,29,Unknown
,0,0,30,Unknown
,0,0,6,Unknown
chloroxylenol,0,0,15,"Wechem, Inc."
,0,336,108,Unknown
,0,0,32,Unknown
azacitidine for,0,58,156,Pilnova Pharma Inc
lorazepam,1,22,83,"Preferred Pharmaceuticals, Inc."
,0,0,12,Unknown
,0,286,644,Unknown
,0,0,17,Unknown
,1,122,202,Unknown
esomeprazole magnesium,0,155,548,Bryant Ranch Prepack
,1,128,54,Unknown
ranolazine,0,68,53,Viona Pharmaceuticals Inc
,1,115,241,Unknown
,0,0,28,Unknown
witch hazel,0,0,15,"Publix Super Markets, Inc"
sitagliptin and metformin hydrochloride,1,109,151,Zydus Lifesciences Limited
cholestyramine light,0,37,570,"EPIC PHARMA, LLC"
,0,3,33,Unknown
,0,0,17,Unknown
,0,0,14,Unknown
,0,0,9,Unknown
,0,0,31,Unknown
sodium chloride,0,20,33,ICU Medical Inc.
,0,0,22,Unknown
,0,0,97,Unknown
paroxetine hydrochloride hemihydrate,1,166,79,REMEDYREPACK INC.
ibuprofen,0,0,22,"Cardinal Health 110, LLC. dba Leader"
doxylamine succinate,0,0,8,ARMY AND AIR FORCE EXCHANGE SERVICE
,0,18,37,Unknown
,0,0,20,Unknown
,0,0,32,Unknown
amlodipine besylate,0,21,572,A-S Medication Solutions
,0,0,35,Unknown
"dextroamphetamine saccharate, amphetamine aspartate, dextroamphetamine sulfate and amphetamine sulfate",1,81,209,Bryant Ranch Prepack
ethyl alcohol,0,0,26,Pearl World Inc.
,1,136,88,Unknown
,0,0,33,Unknown
tolnaftate,0,0,33,Bayer HealthCare LLC.
,0,0,29,Unknown
"alfalfa, cadmium sulphuratum, calcarea carbonica, cuprum metallicum, ferrum metallicum, fucus vesiculosus, hypericum perforatum, kali phosphoricum, magnesia phosphorica, manganum metallicum, mercurius vivus, plumbum metallicum, silicea, symphytum officinale, tarentula hispana, x-ray, ytterbium oxide",0,0,40,"Deseret Biologicals, Inc."
alcohol,0,0,18,"Buckeye International, Inc."
dimenhydrinate,0,0,15,"Chain Drug Marketing Association, Inc."
,1,124,199,Unknown
,0,0,12,Unknown
,0,27,65,Unknown
,0,0,26,Unknown
,0,0,0,Unknown
levothyroxine sodium,1,28,203,Proficient Rx LP
lansoprazole,0,111,757,Xiromed LLC
antacid tablets,0,0,17,"Chain Drug Consortium, LLC"
,0,0,23,Unknown
prednisolone acetate,0,72,27,"Allergan, Inc."
zoledronic acid,0,47,202,Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.
,0,0,32,Unknown
,0,0,0,Unknown
,0,0,8,Unknown
,0,0,31,Unknown
,0,0,12,Unknown
,1,86,163,Unknown
,0,0,24,Unknown
,0,77,616,Unknown
,0,0,5,Unknown
pseudoephedrine hydrochloride,0,0,23,The Kroger Company
,1,162,194,Unknown
simethicone,0,0,14,Walgreens
,0,0,41,Unknown
,0,0,22,Unknown
,0,33,68,Unknown
,0,0,11,Unknown
,0,0,0,Unknown
,1,102,139,Unknown
,0,0,4,Unknown
esomeprazole magnesium,0,162,555,A-S Medication Solutions
alcohol,0,0,14,"Tween Brands, Inc."
,0,41,21,Unknown
hydroxychloroquine sulfate,0,16,239,"Aphena Pharma Solutions - Tennessee, LLC"
,0,0,30,Unknown
,0,0,20,Unknown
"avobenzone, homosalate, octisalate, octocrylene, and oxybenzone",0,0,33,"Walmart, Inc."
,0,0,0,Unknown
,1,177,100,Unknown
tetracycline hydrochloride,0,16,388,"Breckenridge Pharmaceutical, Inc."
,0,7,13,Unknown
,0,0,92,Unknown
,0,0,18,Unknown
eptifibatide,0,154,128,Eugia US LLC
,0,107,347,Unknown
,0,21,21,Unknown
,0,0,26,Unknown
nitrofurantoin,0,236,230,Casper Pharma LLC
,0,0,15,Unknown
atorvastatin calcium,0,66,307,Bryant Ranch Prepack
cetirizine hydrochloride tablets,0,0,27,Strategic Sourcing Services LLC
,1,133,697,Unknown
sodium fluoride,0,18,96,"Rising Pharma Holdings, Inc."
,1,45,325,Unknown
,0,37,418,Unknown
acetaminophen and codeine phosphate,1,123,97,"Northwind Pharmaceuticals, LLC"
acetaminophen and codeine phosphate,1,124,136,REMEDYREPACK INC.
,0,0,14,Unknown
